Age,Region,Residence,Religion,Mothers_Education,Wealth_index,Birth_order,Wanted_pregnancy,Place_of_delivery,Husbands_education,Husbands_occupation,ANC_visit,Media_exposure
-0.007071259,-0.016527034,0.049160387,-0.011132921,0.007633543,0.09832361,-0.01877736,0.027203623,0.9147696,0.07106328,0.016917383,0.3923625,-0.065389544
-0.021319399,-0.051627938,-0.012209438,-0.012607237,0.05470721,0.02195307,0.005268013,-0.033623427,0.9642977,-0.18774077,0.019173646,-0.039020404,-0.06851452
-0.025675418,0.06628402,0.04049466,0.001892106,-0.122678384,0.001300354,0.022966374,-0.15974028,1.1533563,0.015868627,0.021730741,0.015811834,0.12132359
0.15302481,0.051075816,-0.09907724,-0.009465386,0.17687815,0.11079566,0.020579368,0.004800614,0.7852668,0.046017747,-0.5138937,0.45827472,0.023538541
-0.008987609,-0.08894533,-0.017179804,-0.006404281,0.032904647,-0.08574079,-0.00918972,0.050507188,-2.1722646,0.10586701,0.011856864,-0.028927144,0.038135774
-0.03362025,0.18859304,-0.007058233,-0.005917157,0.006940877,-0.119668625,0.018926559,-0.20232537,0.90867,-0.10247292,0.02030252,-0.76535195,0.17708777
0.07633865,0.02052009,0.004249874,0.009578914,0.04790431,-0.106373265,-0.004403876,0.041251227,0.7907908,0.12782352,0.01520658,0.28170553,0.006190128
-0.020238543,-0.025042154,0.08958275,-0.00652863,0.03502412,0.093684226,0.020191388,0.010487413,1.0341713,-0.25229597,0.021652158,-0.043429952,0.12371926
-0.030235697,0.019908292,0.005097932,-0.007688809,-0.07701182,0.19060794,0.003845973,0.02100517,-2.0764148,-0.15606633,0.01048602,-0.17658263,-0.094268724
-0.02919267,0.08926413,0.09574838,-0.003347107,0.07937411,0.16800499,-0.036010034,-0.032906365,-1.7410812,-0.0969505,0.009742519,-0.61931014,0.09917536
-0.013302532,-0.061065894,-0.07512909,-0.01716038,0.043221932,0.09340169,-0.00843345,-0.000557556,0.7281307,-0.001087873,0.009079005,0.29264915,0.010066483
0.26759017,0.04803521,0.08146264,-0.008088245,0.08417164,0.08349061,0.03392965,0.019969238,0.82008034,0.023716895,0.018344346,0.4095634,-0.00318827
-0.047032095,0.08674321,0.04972321,-0.005934676,0.06516206,0.11135249,0.014963787,-0.16448244,0.9349967,0.060280714,0.015053665,-0.07639932,-0.113726385
-0.031060282,0.15877593,-0.076601416,0.09420573,0.058515806,0.10922485,-0.028137948,0.009392278,0.8466099,0.000276706,0.010274921,0.3677683,-0.06380451
-0.026577776,0.03252702,-0.07289516,-0.000328103,0.08444457,0.05220575,0.03965129,0.0061986,0.8277452,0.044860143,0.016341826,0.3322608,0.005427866
0.034600317,-0.038123716,0.020214492,-0.005013655,-0.05760839,0.18486007,0.009941988,-0.012168634,-1.707076,-0.19814454,0.008637257,-0.17182758,-0.07261413
0.083771534,-0.006849249,0.10329815,-0.00270749,-0.12596016,-0.16682592,-0.039571043,-0.088593066,-2.1201162,-0.05917097,0.011528488,-0.047182675,0.054222852
